Vol.239 2025失意大公司·国内篇
时长：00:40:52
来源：网易云音乐电台节目 · 商业就是这样 · Vol.239 2025失意大公司·国内篇

[00:00:01] 终于到了定番的年终盘点有人吗有人吗有人不玩梗了不玩梗了不玩梗了好吗不玩梗了大家好我是肖文杰我是余小亚本期呢是我们2025年终盘点第一期啊进入到我们的保留群众十一大公司
[00:00:17] 和往年一样我们会分两周分别讨论国内和全球各国家一共10家11大公司本周是国内篇还是要为之前没有听过这个系列的听友们介绍一番没有听过你们去听一下好不好我们这个在小宇宙平台上面我们都有一个专题的
[00:00:32] 介绍一下我们这个策划呢是选择一个年度的失忆的大公司那选择大公司的要求呢主要是两条一个就是规模要足够大这里的规模是包括像人员的营收啊市值啊影响力等等的第二呢就是这个公司的主要的失忆的这个事件啊要发生在今年就是2025年另外呢其实还有一些非常重要的失忆大公司比如说新世界发展因为我们今年已经用专门的一整季节目来做过系统的讨论了
[00:01:00] 今天也就不会特别展开了如果有兴趣的话也可以直接找此前节目回听一下另外呢也有一些公司我们觉得他们属于濒临失忆的范畴可能今年暴露一些问题但是问题又没有表面看起来那么严重那我们这些公司就会简单的聊两句就是提名讲
[00:01:18] 这么筛选下来今年我们想聊的五家国内的失忆大公司就是西贝 万科 百度 茅台和美团这五家公司入选的理由主要突出一个行业代表性所以建议大家在听的时候不用特别在意为什么是它就是关注一个大的失忆背后的逻辑和背景就会比较好那我们就开始吧这里是商业就是这样
[00:01:52] 那就进入到我们今天讨论的第一家失忆大公司西贝说实话这个看似顺理成章的选择在我们内部讨论的时候还是有一些争议的因为西贝真的不大2023年他的公司创始人贾国龙是公布过这个公司的业绩的就全年的营收是62亿元这个不是正经的财报就他自己说的这是他截止目前的一个顶峰的数字而这个数字呢可能是我们今天讨论的后面四家公司零头都不到但是西贝的失忆事件本身就很大
[00:02:20] 而且就是由罗永浩一条微博引发的关于整个玉芝菜一个全国大讨论这个影响实在是太广了所以说我们想了想还是把它选进来了所以西北更准确的标签不是诗意大公司而是大诗意公司诗意本身比较大整个公关世界的过程相信大家都很熟悉了就没有必要完整的复述了整个过程里面最大的引爆点其实都不是罗永浩最初那个微博
[00:02:46] 而是贾国龙第一时间这个reaction就是他措辞严厉的反驳了整个论述还邀请了媒体到餐厅后厨去自证清白结果发现罗永浩其实说的也没有错呀最后整个事情的这个议程和叙事就完全脱离了西贝和贾国龙的掌控了就像罗永浩自己说的如果当时贾国龙他不说话的话可能这事一天也就过去了后来人们发现这种愚蠢的公关操作其实根本上是因为整个公司的这个一言堂的氛围嘛
