Vol.93 2022失意大公司·国内篇
时长：00:40:24
来源：网易云音乐电台节目 · 商业就是这样 · Vol.93 2022失意大公司·国内篇

[00:00:00] 大家好,我是肖文杰我是徐彬青2022年就这么进入尾声了我们也要开始保留曲目做年终盘点了接下来的两周我们将盘点国内和全球各五家一共十家的失忆大公司这里为去年没有听过这个系列的听众朋友们介绍一下我们选择所谓失忆大公司的要求主要是两条一是这个公司的规模要足够大
[00:00:26] 这里的规模包括了人员营收市值影响力等等反正只要这些领域比较大的话都可以第二就是这家公司主要的失益事件呢得发生在今年所以有很多今年很失益的大公司我们其实没有把他们列入榜单比如说恒大苏宁这些因为他们从去年就不是很妙今年的危机也没有解除但是今年和去年的根源是同一个所以我们就不过多分析了
[00:00:54] 另外今天还有个特殊之处就是失忆的公司实在是太多了或者说就没有几个行业是过得特别舒坦的所以我们选取来反而会有一些困难建议大家在听的时候也不用特别在意为什么是他为什么不是他只要关注这个失忆背后的逻辑和背景就可以了好那我们就开始今年国内篇的五家失忆大公司分别是腾讯小鹏复兴小米和融创
[00:01:32] 这里是商业就是这样
[00:01:35] 那我们进入第一家公司就是腾讯要说失忆的话今年腾讯在二级市场上确实是很失忆啊因为十月底公司的股票跌出了五年以来的最低价不到200港元虽然这个股价最后又回升了但是截至本期节目录制之前腾讯今年的股价整体还算是打了个七折股价的走势如此一方面是公司的业绩不理想另一方面也有市场传闻的影响吧所以我们分两个部分来说嗯 业绩是主要的
[00:02:04] 我们先看一下腾讯今年前三个季度的整体情况这三个季度里面公司的营收是属于小幅下滑前三季度合计同比是少了2%但是同期的净利润方面就掉得比较厉害是少了37%这还是在整个公司在裁员或者说通过削减营销支出之类的方法大力推动所谓降本增效的前提下实现的可见腾讯今年压力确实是挺大的
[00:02:32] 那我们再看腾讯今年业绩最好的一季就是刚刚过去的第三季度具体到几个业务板块上收入同比有上涨的是金融科技和企业服务以及它游戏业务中的海外部分其他板块的收入其实都是下降的包括国内的游戏社交广告和媒体广告这些都是下降的我们注意到游戏业务海外的还不错国内的就不行这个内外有别其实也是比较符合市场预期的对的
